Frame,Gaze_X,Gaze_Y,Fixation,Side
634,-0.038,-0.0443,True,Center
635,-0.0094,-0.0391,True,Center
636,-0.026,-0.0396,True,Center
637,-0.043,-0.0317,True,Center
638,-0.0417,-0.0455,True,Center
639,-0.0472,-0.0383,True,Center
640,-0.0473,-0.0352,True,Center
641,-0.0411,-0.0233,True,Center
642,-0.0841,-0.0364,False,Center
643,-0.0657,-0.0193,False,Center
644,-0.074,-0.0305,False,Center
645,-0.0593,-0.0292,False,Center
646,-0.07,-0.0094,False,Center
647,-0.1104,0.0002,False,Center
648,-0.069,-0.0119,False,Center
649,-0.0425,-0.0179,True,Center
650,-0.0436,-0.0308,True,Center
651,-0.019,-0.0259,True,Center
652,-0.0572,-0.0251,False,Center
653,-0.0677,-0.0065,False,Center
654,-0.0551,0.0094,False,Center
655,-0.0534,-0.0144,False,Center
656,-0.0637,-0.0239,False,Center
657,-0.0456,-0.0373,True,Center
658,-0.034,-0.0274,True,Center
659,-0.0573,-0.0562,False,Center
660,-0.0478,-0.0417,True,Center
661,-0.0411,-0.0499,True,Center
662,-0.0597,-0.0455,False,Center
663,-0.0754,-0.0395,False,Center
664,-0.0842,-0.0404,False,Center
665,-0.0945,-0.015,False,Center
666,-0.0815,-0.0215,False,Center
667,-0.0552,-0.0294,False,Center
668,-0.0472,-0.0158,True,Center
669,-0.0514,0.0031,False,Center
670,-0.0296,-0.0218,True,Center
671,-0.0563,-0.012,False,Center
672,-0.0466,-0.0174,True,Center
673,-0.0429,-0.0121,True,Center
674,-0.0763,-0.0102,False,Center
675,-0.0478,-0.006,True,Center
676,-0.0521,-0.0259,False,Center
677,-0.0393,-0.0238,True,Center
678,-0.0598,-0.0216,False,Center
679,-0.0646,-0.0452,False,Center
680,-0.0647,-0.0404,False,Center
681,-0.0433,-0.0416,True,Center
682,-0.0648,-0.0414,False,Center
683,-0.0652,-0.0348,False,Center
684,-0.0691,-0.0445,False,Center
685,-0.0601,-0.0619,False,Center
686,-0.0947,-0.0613,False,Center
687,-0.0735,-0.052,False,Center
688,-0.078,-0.0577,False,Center
689,-0.0703,-0.0641,False,Center
690,-0.1025,-0.0506,False,Center
691,-0.085,-0.0597,False,Center
692,-0.0853,-0.0587,False,Center
693,-0.0855,-0.072,False,Center
694,-0.0646,-0.0743,False,Center
695,-0.0981,-0.064,False,Center
696,-0.0782,-0.0669,False,Center
697,-0.0797,-0.0579,False,Center
698,-0.0777,-0.0489,False,Center
699,-0.0806,-0.0593,False,Center
700,-0.0847,-0.0374,False,Center
701,-0.0683,-0.0523,False,Center
702,-0.071,-0.0483,False,Center
703,-0.0852,-0.0372,False,Center
704,-0.0555,-0.0319,False,Center
705,-0.0803,0.0112,False,Center
706,-0.0485,-0.0091,True,Center
707,-0.0633,0.0247,False,Center
708,-0.0599,-0.0296,False,Center
709,-0.0505,-0.0408,False,Center
710,-0.0688,-0.0338,False,Center
711,-0.085,-0.0101,False,Center
712,-0.0813,-0.0418,False,Center
713,-0.1263,-0.0169,False,Center
714,-0.0778,-0.0478,False,Center
715,-0.0746,-0.0467,False,Center
716,-0.1053,-0.0037,False,Center
717,-0.0965,-0.0238,False,Center
718,-0.1142,-0.0117,False,Center
719,-0.0575,-0.013,False,Center
720,-0.0806,-0.036,False,Center
721,-0.1111,-0.0301,False,Center
722,-0.0788,-0.0467,False,Center
723,-0.0846,-0.0355,False,Center
724,-0.0555,-0.0289,False,Center
725,-0.0328,-0.0327,True,Center
726,-0.048,-0.0338,True,Center
727,-0.0585,-0.0235,False,Center
728,-0.0679,-0.0398,False,Center
729,-0.0767,-0.0467,False,Center
730,-0.0537,-0.043,False,Center
731,-0.0441,-0.0331,True,Center
732,-0.0506,-0.0353,False,Center
733,-0.0442,-0.0446,True,Center
734,-0.0618,-0.0302,False,Center
